"subject_age","subject_race","subject_sex","lng","lat","violation_type","prob"
33,"white","female",-111.8265697,33.43495,"reckless_driving",0.004
33,"white","female",-111.8265697,33.43495,"running_red_light_or_without_headlight",0
33,"white","female",-111.8265697,33.43495,"without_proper_documents_or_vehicle_defects",0.98
81,"white","female",-111.8401593,33.3932471,"distracted_driving",0.092
81,"white","female",-111.8401593,33.3932471,"leaving_scene_of_an_accident_informing",0
81,"white","female",-111.8401593,33.3932471,"reckless_driving",0.012
81,"white","female",-111.8401593,33.3932471,"running_red_light_or_without_headlight",0.038
81,"white","female",-111.8401593,33.3932471,"without_proper_documents_or_vehicle_defects",0.858
36,"white","female",-111.8401819,33.3877911,"distracted_driving",0
36,"white","female",-111.8401819,33.3877911,"leaving_scene_of_an_accident_informing",0.088
36,"white","female",-111.8401819,33.3877911,"reckless_driving",0.232
36,"white","female",-111.8401819,33.3877911,"running_red_light_or_without_headlight",0.042
36,"white","female",-111.8401819,33.3877911,"without_proper_documents_or_vehicle_defects",0.638
41,"hispanic","female",-111.8251335,33.3933413,"distracted_driving",0
41,"hispanic","female",-111.8251335,33.3933413,"leaving_scene_of_an_accident_informing",0
41,"hispanic","female",-111.8251335,33.3933413,"reckless_driving",0.01
41,"hispanic","female",-111.8251335,33.3933413,"running_red_light_or_without_headlight",0.002
41,"hispanic","female",-111.8251335,33.3933413,"without_proper_documents_or_vehicle_defects",0.988
35,"black","male",-111.8401712,33.3899582,"distracted_driving",0.052
35,"black","male",-111.8401712,33.3899582,"leaving_scene_of_an_accident_informing",0
35,"black","male",-111.8401712,33.3899582,"reckless_driving",0.162
35,"black","male",-111.8401712,33.3899582,"running_red_light_or_without_headlight",0.102
35,"black","male",-111.8401712,33.3899582,"without_proper_documents_or_vehicle_defects",0.684
27,"hispanic","male",-111.8341708,33.4005697,"distracted_driving",0
27,"hispanic","male",-111.8341708,33.4005697,"leaving_scene_of_an_accident_informing",0
27,"hispanic","male",-111.8341708,33.4005697,"reckless_driving",0
27,"hispanic","male",-111.8341708,33.4005697,"running_red_light_or_without_headlight",0.004
27,"hispanic","male",-111.8341708,33.4005697,"without_proper_documents_or_vehicle_defects",0.996
25,"hispanic","female",-111.8572262,33.3933373,"distracted_driving",0.002
25,"hispanic","female",-111.8572262,33.3933373,"leaving_scene_of_an_accident_informing",0
25,"hispanic","female",-111.8572262,33.3933373,"reckless_driving",0.002
25,"hispanic","female",-111.8572262,33.3933373,"running_red_light_or_without_headlight",0.022
25,"hispanic","female",-111.8572262,33.3933373,"without_proper_documents_or_vehicle_defects",0.974
33,"other","male",-111.8572849,33.400338,"distracted_driving",0.04
33,"other","male",-111.8572849,33.400338,"leaving_scene_of_an_accident_informing",0
33,"other","male",-111.8572849,33.400338,"reckless_driving",0.228
33,"other","male",-111.8572849,33.400338,"running_red_light_or_without_headlight",0.006
33,"other","male",-111.8572849,33.400338,"without_proper_documents_or_vehicle_defects",0.726
32,"white","female",-111.8119758,33.396981,"distracted_driving",0
32,"white","female",-111.8119758,33.396981,"leaving_scene_of_an_accident_informing",0
32,"white","female",-111.8119758,33.396981,"reckless_driving",0.006
32,"white","female",-111.8119758,33.396981,"running_red_light_or_without_headlight",0.036
32,"white","female",-111.8119758,33.396981,"without_proper_documents_or_vehicle_defects",0.958
50,"hispanic","male",-111.840142,33.4005759,"distracted_driving",0
50,"hispanic","male",-111.840142,33.4005759,"leaving_scene_of_an_accident_informing",0
50,"hispanic","male",-111.840142,33.4005759,"reckless_driving",0.874
50,"hispanic","male",-111.840142,33.4005759,"running_red_light_or_without_headlight",0
50,"hispanic","male",-111.840142,33.4005759,"without_proper_documents_or_vehicle_defects",0.126
25,"white","female",-111.8572849,33.400338,"distracted_driving",0.572
25,"white","female",-111.8572849,33.400338,"leaving_scene_of_an_accident_informing",0
25,"white","female",-111.8572849,33.400338,"reckless_driving",0.422
25,"white","female",-111.8572849,33.400338,"running_red_light_or_without_headlight",0
25,"white","female",-111.8572849,33.400338,"without_proper_documents_or_vehicle_defects",0.006
27,"hispanic","female",-111.874626,33.4075074,"distracted_driving",0
27,"hispanic","female",-111.874626,33.4075074,"leaving_scene_of_an_accident_informing",0
27,"hispanic","female",-111.874626,33.4075074,"reckless_driving",0.086
27,"hispanic","female",-111.874626,33.4075074,"running_red_light_or_without_headlight",0
27,"hispanic","female",-111.874626,33.4075074,"without_proper_documents_or_vehicle_defects",0.914
43,"white","male",-111.8401426,33.3969685,"distracted_driving",0.024
43,"white","male",-111.8401426,33.3969685,"leaving_scene_of_an_accident_informing",0
